state_code,area_code,areatype_code,area_name
00,0000000,N,National
01,0011500,M,"Anniston-Oxford-Jacksonville, AL"
01,0012220,M,"Auburn-Opelika, AL"
01,0013820,M,"Birmingham-Hoover, AL"
01,0019300,M,"Daphne-Fairhope-Foley, AL"
01,0019460,M,"Decatur, AL"
01,0020020,M,"Dothan, AL"
01,0022520,M,"Florence-Muscle Shoals, AL"
01,0023460,M,"Gadsden, AL"
01,0026620,M,"Huntsville, AL"
01,0033660,M,"Mobile, AL"
01,0033860,M,"Montgomery, AL"
01,0046220,M,"Tuscaloosa, AL"
01,0100000,S,Alabama
01,0100001,M,Northwest Alabama nonmetropolitan area
01,0100002,M,Northeast Alabama nonmetropolitan area
01,0100003,M,Southwest Alabama nonmetropolitan area
01,0100004,M,Southeast Alabama nonmetropolitan area
02,0011260,M,"Anchorage, AK"
02,0021820,M,"Fairbanks, AK"
02,0200000,S,Alaska
02,0200006,M,Alaska nonmetropolitan area
04,0022380,M,"Flagstaff, AZ"
04,0029420,M,"Lake Havasu City-Kingman, AZ"
04,0038060,M,"Phoenix-Mesa-Scottsdale, AZ"
04,0039140,M,"Prescott, AZ"
04,0043420,M,"Sierra Vista-Douglas, AZ"
04,0046060,M,"Tucson, AZ"
04,0049740,M,"Yuma, AZ"
04,0400000,S,Arizona
04,0400001,M,Arizona nonmetropolitan area
05,0022220,M,"Fayetteville-Springdale-Rogers, AR-MO"
05,0022900,M,"Fort Smith, AR-OK"
05,0026300,M,"Hot Springs, AR"
05,0027860,M,"Jonesboro, AR"
05,0030780,M,"Little Rock-North Little Rock-Conway, AR"
05,0038220,M,"Pine Bluff, AR"
05,0500000,S,Arkansas
05,0500001,M,North Arkansas nonmetropolitan area
05,0500002,M,East Arkansas nonmetropolitan area
05,0500003,M,West Arkansas nonmetropolitan area
05,0500004,M,South Arkansas nonmetropolitan area
06,0012540,M,"Bakersfield, CA"
06,0017020,M,"Chico, CA"
06,0020940,M,"El Centro, CA"
06,0023420,M,"Fresno, CA"
06,0025260,M,"Hanford-Corcoran, CA"
06,0031080,M,"Los Angeles-Long Beach-Anaheim, CA"
06,0031460,M,"Madera, CA"
06,0032900,M,"Merced, CA"
06,0033700,M,"Modesto, CA"
06,0034900,M,"Napa, CA"
06,0037100,M,"Oxnard-Thousand Oaks-Ventura, CA"
06,0039820,M,"Redding, CA"
06,0040140,M,"Riverside-San Bernardino-Ontario, CA"
06,0040900,M,"Sacramento--Roseville--Arden-Arcade, CA"
06,0041500,M,"Salinas, CA"
06,0041740,M,"San Diego-Carlsbad, CA"
06,0041860,M,"San Francisco-Oakland-Hayward, CA"
06,0041940,M,"San Jose-Sunnyvale-Santa Clara, CA"
06,0042020,M,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06,0042100,M,"Santa Cruz-Watsonville, CA"
06,0042200,M,"Santa Maria-Santa Barbara, CA"
06,0042220,M,"Santa Rosa, CA"
06,0044700,M,"Stockton-Lodi, CA"
06,0046700,M,"Vallejo-Fairfield, CA"
06,0047300,M,"Visalia-Porterville, CA"
06,0049700,M,"Yuba City, CA"
06,0600000,S,California
06,0600003,M,North Coast Region of California nonmetropolitan area
06,0600006,M,Eastern Sierra-Mother Lode Region of California nonmetropolitan area
06,0600007,M,North Valley-Northern Mountains Region of California nonmetropolitan area
08,0014500,M,"Boulder, CO"
08,0017820,M,"Colorado Springs, CO"
08,0019740,M,"Denver-Aurora-Lakewood, CO"
08,0022660,M,"Fort Collins, CO"
08,0024300,M,"Grand Junction, CO"
08,0024540,M,"Greeley, CO"
08,0039380,M,"Pueblo, CO"
08,0800000,S,Colorado
08,0800001,M,Eastern and Southern Colorado nonmetropolitan area
08,0800002,M,Southwest Colorado nonmetropolitan area
08,0800003,M,Northwest Colorado nonmetropolitan area
09,0071950,M,"Bridgeport-Stamford-Norwalk, CT"
09,0072850,M,"Danbury, CT"
09,0073450,M,"Hartford-West Hartford-East Hartford, CT"
09,0075700,M,"New Haven, CT"
09,0076450,M,"Norwich-New London-Westerly, CT-RI"
09,0078700,M,"Waterbury, CT"
09,0900000,S,Connecticut
09,0900001,M,Connecticut nonmetropolitan area
10,0020100,M,"Dover, DE"
10,1000000,S,Delaware
11,0047900,M,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
11,1100000,S,District of Columbia
12,0015980,M,"Cape Coral-Fort Myers, FL"
12,0018880,M,"Crestview-Fort Walton Beach-Destin, FL"
12,0019660,M,"Deltona-Daytona Beach-Ormond Beach, FL"
12,0023540,M,"Gainesville, FL"
12,0026140,M,"Homosassa Springs, FL"
12,0027260,M,"Jacksonville, FL"
12,0029460,M,"Lakeland-Winter Haven, FL"
12,0033100,M,"Miami-Fort Lauderdale-West Palm Beach, FL"
12,0034940,M,"Naples-Immokalee-Marco Island, FL"
12,0035840,M,"North Port-Sarasota-Bradenton, FL"
12,0036100,M,"Ocala, FL"
12,0036740,M,"Orlando-Kissimmee-Sanford, FL"
12,0037340,M,"Palm Bay-Melbourne-Titusville, FL"
12,0037460,M,"Panama City, FL"
12,0037860,M,"Pensacola-Ferry Pass-Brent, FL"
12,0038940,M,"Port St. Lucie, FL"
12,0039460,M,"Punta Gorda, FL"
12,0042680,M,"Sebastian-Vero Beach, FL"
12,0042700,M,"Sebring, FL"
12,0045220,M,"Tallahassee, FL"
12,0045300,M,"Tampa-St. Petersburg-Clearwater, FL"
12,0045540,M,"The Villages, FL"
12,1200000,S,Florida
12,1200003,M,South Florida nonmetropolitan area
12,1200006,M,North Florida nonmetropolitan area
13,0010500,M,"Albany, GA"
13,0012020,M,"Athens-Clarke County, GA"
13,0012060,M,"Atlanta-Sandy Springs-Roswell, GA"
13,0012260,M,"Augusta-Richmond County, GA-SC"
13,0015260,M,"Brunswick, GA"
13,0017980,M,"Columbus, GA-AL"
13,0019140,M,"Dalton, GA"
13,0023580,M,"Gainesville, GA"
13,0025980,M,"Hinesville, GA"
13,0031420,M,"Macon, GA"
13,0040660,M,"Rome, GA"
13,0042340,M,"Savannah, GA"
13,0046660,M,"Valdosta, GA"
13,0047580,M,"Warner Robins, GA"
13,1300000,S,Georgia
13,1300001,M,North Georgia nonmetropolitan area
13,1300002,M,Middle Georgia nonmetropolitan area
13,1300003,M,East Georgia nonmetropolitan area
13,1300004,M,South Georgia nonmetropolitan area
15,0027980,M,"Kahului-Wailuku-Lahaina, HI"
15,0046520,M,"Urban Honolulu, HI"
15,1500000,S,Hawaii
15,1500001,M,Hawaii / Kauai nonmetropolitan area
16,0014260,M,"Boise City, ID"
16,0017660,M,"Coeur d'Alene, ID"
16,0026820,M,"Idaho Falls, ID"
16,0030300,M,"Lewiston, ID-WA"
16,0038540,M,"Pocatello, ID"
16,0046300,M,"Twin Falls, ID"
16,1600000,S,Idaho
16,1600006,M,Northwestern Idaho nonmetropolitan area
16,1600007,M,Southeast-Central Idaho nonmetropolitan area
